"comid","group_code","group","pct_mean","ols_slope","ols_pvalue","mk_tau","mk_pvalue","sen_slope","trend_direction"
620003068,"A","Bosque natural",0.0299275475845206,-7.86395496898454e-05,0.228775319726757,-0.139571208793787,0.258032201707762,0,"sin tendencia"
620003068,"ANT","Uso antropico",4.43125031517411,0.0337960395179963,0.148827042742345,0.14948652204691,0.179972383349311,0.0435875420383103,"sin tendencia"
620003068,"B","Vegetacion altoandina",75.9116324782372,0.205381948773453,0.00120754890442633,0.251282051282051,0.0230894253844121,0.197248160839082,"incremento"
620003068,"C","Otra formacion natural",19.5150819048285,-0.238415370319618,3.40306067706791e-07,-0.487179487179487,1.0066404498591e-05,-0.213057513618881,"perdida"
620003068,"D","Agricultura, silvicultura y ganaderia",3.3546403911896,0.073602186423319,0.00010909509993426,0.315930528501657,0.0044396612967104,0.06505725905299,"incremento"
620003068,"E","Infraestructura antropica",1.07660992398451,-0.0398061469053227,0.0294330876062432,-0.138337140506637,0.216316948203965,-0.00670888752210885,"sin tendencia"
620003068,"F","Mineria",0,0,NA,NA,NA,0,"sin tendencia"
620003068,"G","Area no vegetada natural",0,0,NA,NA,NA,0,"sin tendencia"
620003068,"H","Cuerpos de agua",0.112105024600169,-0.000684008732443334,0.313254637118272,-0.159027603624139,0.162623945797689,-0.00049217032803293,"sin tendencia"
620003068,"I","Acuicultura",0,0,NA,NA,NA,0,"sin tendencia"
620003068,"NAT","Cobertura natural",95.5687469552504,-0.0337960698282986,0.148826757558939,-0.158098208769668,0.15506206112,-0.0435875572326071,"sin tendencia"
620003069,"A","Bosque natural",0,0,NA,NA,NA,0,"sin tendencia"
620003069,"ANT","Uso antropico",0.325602160319249,0.0109758892614469,1.20465349175107e-06,0.565908476563264,3.45847832256191e-07,0.0115413777166395,"incremento"
620003069,"B","Vegetacion altoandina",28.1530377268791,-0.0694997689737373,0.287758417029474,-0.174582942305327,0.115694918639106,-0.0549152600422993,"sin tendencia"
620003069,"C","Otra formacion natural",62.6809322834015,0.174838873727236,0.0176692619067358,0.270686393081538,0.0144097470876383,0.157183732348259,"incremento"
620003069,"D","Agricultura, silvicultura y ganaderia",0.171100702882541,0.00734558676437032,0.000459882762327462,0.500109682197157,8.32608339852831e-06,0.00885788582603282,"incremento"
620003069,"E","Infraestructura antropica",0.154501457436709,0.00363030249707654,8.10067945038927e-06,0.580800069440469,2.03613380261386e-07,0.00343069910914414,"incremento"
620003069,"F","Mineria",0,0,NA,NA,NA,0,"sin tendencia"
620003069,"G","Area no vegetada natural",0,0,NA,NA,NA,0,"sin tendencia"
620003069,"H","Cuerpos de agua",8.84042808786035,-0.116315017442095,2.16211553389841e-12,-0.992277876713668,3.63008211974937e-19,-0.0878270856584558,"perdida"
620003069,"I","Acuicultura",0,0,NA,NA,NA,0,"sin tendencia"
620003069,"NAT","Cobertura natural",99.674398098141,-0.0109759126885964,1.2046949403193e-06,-0.565747390279424,2.94703298275331e-07,-0.0115409493446119,"perdida"
620003071,"A","Bosque natural",1.42734631663188,0.000291009045662134,0.90452886935894,-0.0607649121851582,0.591566700321263,-0.0010782488971017,"sin tendencia"
620003071,"ANT","Uso antropico",80.8941515290644,-0.0497815497027357,8.2197016797529e-09,-0.606799355106956,3.8052081347801e-08,-0.0491015651884179,"perdida"
620003071,"B","Vegetacion altoandina",6.53003277257085,-0.00636655487833059,0.317284499529422,-0.102828103264825,0.357194851649369,-0.00508218826282571,"sin tendencia"
