"comid","variable","n_years","value_mean","ols_slope","ols_pvalue","mk_tau","mk_pvalue","sen_slope","sen_slope_rel","trend_direction"
620003068,"pop_density",9,0.168726971989763,0.0028171503511836,1.76394120430729e-05,0.833333333333333,0.00249902885761126,0.0146245622154066,8.66759003788317,"aumento"
620003068,"population",9,4.63765358924866,0.0774325958887737,1.76394120430757e-05,0.833333333333333,0.00249902885761126,0.401972800493241,8.66759003788302,"aumento"
620003069,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620003069,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620003071,"pop_density",9,41.8230232117871,0.506159767375125,3.24836401648272e-07,1,0.000263260802703515,2.53101930601794,6.05173684647603,"aumento"
620003071,"population",9,1177.66562906901,14.2526033528646,3.2483640164828e-07,1,0.000263260802703515,71.2692248026531,6.05173684647604,"aumento"
620003101,"pop_density",9,10.8861317498965,0.125033582119664,9.30632374875706e-09,1,0.000263260802703515,0.630489623025545,5.79167731486937,"aumento"
620003101,"population",9,185.70514594184,2.13293207804363,9.30632374875398e-09,1,0.000263260802703515,10.7554428100586,5.79167731486936,"aumento"
620003119,"pop_density",9,348.800388748479,6.62877279499192,3.15823387139368e-06,1,0.000263260802703515,32.4939731890063,9.31592229744841,"aumento"
620003119,"population",9,13674.2604166667,259.872317708333,3.15823387139343e-06,1,0.000263260802703515,1273.88347516741,9.3159222974484,"aumento"
620003127,"pop_density",9,16.0970712397071,0.156820424835314,2.34457990188591e-05,0.944444444444444,0.000580666545949214,0.826328247087038,5.13340740549567,"aumento"
620003127,"population",9,348.539574517144,3.39553222656249,2.34457990188609e-05,0.944444444444444,0.000580666545949214,17.891956329346,5.13340740549562,"aumento"
620004484,"pop_density",9,4.44778148185465,0.0542888564043747,7.84854794690021e-08,1,0.000263260802703515,0.27201884413226,6.11583202191923,"aumento"
620004484,"population",9,169.069171481662,2.06362925211589,7.84854794689918e-08,1,0.000263260802703515,10.3399865286693,6.11583202191939,"aumento"
620004485,"pop_density",9,4.78109047936932,0.052218281435435,1.49700546460565e-07,1,0.000263260802703515,0.253241879952237,5.29673891437508,"aumento"
